Grid_txt,Latitude,Longitude
794,39.1876,-78.2995
795,39.1872,-78.2809
796,39.1867,-78.2623
797,39.1863,-78.2437
798,39.1859,-78.2251
799,39.1854,-78.2065
800,39.185,-78.1879
801,39.1845,-78.1692
802,39.1841,-78.1506
803,39.1836,-78.132
804,39.1831,-78.1134
805,39.1827,-78.0948
806,39.1822,-78.0762
807,39.1817,-78.0576
808,39.1813,-78.039
809,39.1808,-78.0204
810,39.1803,-78.0018
811,39.1798,-77.9831
812,39.1794,-77.9645
813,39.1789,-77.9459
814,39.1784,-77.9273
815,39.1779,-77.9087
816,39.1774,-77.8901
817,39.1754,-77.8157
818,39.1749,-77.7971
819,39.1744,-77.7785
820,39.1738,-77.7599
821,39.1733,-77.7413
822,39.1728,-77.7227
823,39.1723,-77.7041
824,39.1717,-77.6855
825,39.1712,-77.6669
826,39.1707,-77.6483
827,39.1701,-77.6297
828,39.1696,-77.6111
829,39.1691,-77.5925
830,39.1685,-77.5739
831,39.168,-77.5553
832,39.1674,-77.5367
833,39.205,-78.4293
834,39.2046,-78.4107
835,39.2042,-78.3921
836,39.2038,-78.3734
837,39.2034,-78.3548
838,39.203,-78.3362
839,39.2025,-78.3176
840,39.2021,-78.299
841,39.2017,-78.2804
842,39.2012,-78.2617
843,39.2008,-78.2431
844,39.2003,-78.2245
845,39.1999,-78.2059
846,39.1994,-78.1873
847,39.199,-78.1687
848,39.1985,-78.15
849,39.1981,-78.1314
850,39.1976,-78.1128
851,39.1972,-78.0942
852,39.1967,-78.0756
853,39.1962,-78.057
854,39.1958,-78.0384
855,39.1953,-78.0198
856,39.1948,-78.0011
857,39.1943,-77.9825
858,39.1938,-77.9639
859,39.1934,-77.9453
860,39.1929,-77.9267
861,39.1924,-77.9081
862,39.1894,-77.7964
863,39.1888,-77.7778
864,39.1883,-77.7592
865,39.1878,-77.7406
866,39.1873,-77.722
867,39.1868,-77.7034
868,39.1862,-77.6848
869,39.1857,-77.6662
870,39.1852,-77.6476
871,39.1846,-77.629
872,39.1841,-77.6104
873,39.1835,-77.5918
874,39.183,-77.5732
875,39.1824,-77.5546
876,39.1819,-77.536
877,39.2195,-78.4288
878,39.2191,-78.4102
879,39.2187,-78.3915
880,39.2183,-78.3729
881,39.2179,-78.3543
882,39.2174,-78.3357
883,39.217,-78.317
884,39.2166,-78.2984
885,39.2161,-78.2798
886,39.2157,-78.2612
887,39.2153,-78.2426
888,39.2148,-78.2239
889,39.2144,-78.2053
890,39.2139,-78.1867
891,39.2135,-78.1681
892,39.213,-78.1495
893,39.2126,-78.1308
894,39.2121,-78.1122
