Deer.ID,Sample.Date,Year,Month,Origin,Sample,Species,Sex,Age,County,grid,lat,long,status
VA00139,10/27/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00141,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00142,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00143,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,2,Clarke,NA,NA,NA,0
A00144,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00145,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3,Frederick,NA,NA,NA,0
A00146,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00147,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00148,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00149,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00150,10/28/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00180,10/30/2005,2005,10,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,,Frederick,NA,NA,NA,0
A00152,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Shenandoah,NA,NA,NA,0
A00153,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00154,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00155,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.6,Frederick,NA,NA,NA,0
A00156,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00157,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Clarke,NA,NA,NA,0
A00158,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,1.5,Frederick,NA,NA,NA,0
A00159,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Male,1.5,Frederick,NA,NA,NA,0
A00160,11/1/2005,2005,11,Free-Ranging,Active - Road-Killed,White Tailed Deer,Female,3,Frederick,NA,NA,NA,0
